title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Cunt_Count,Profanity
Interview with the Vampire,3,0,3,0,0,TRUE
Into the Wild,6,2,4,0,0,TRUE
Into the Woods,0,0,0,0,0,[]
Intolerable Cruelty,6,1,4,1,0,TRUE
Inventing the Abbotts,30,15,15,0,0,TRUE
The Invention of Lying,29,18,8,3,0,TRUE
Invictus,1,0,1,0,0,TRUE
The Iron Lady,0,0,0,0,0,[]
The Island,20,18,2,0,0,TRUE
It,24,9,15,0,0,TRUE
It Happened One Night,0,0,0,0,0,[]
It Happened One Night,0,0,0,0,0,[]
It's a Wonderful Life,0,0,0,0,0,[]
It's Complicated,2,0,1,1,0,TRUE
The Italian Job,18,5,13,0,0,TRUE
